,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,138,3,0,3
F1_CND1真空恶化,0,144,0,0
F2_CND1循环水不足,1,24,119,0
F3_CND1热井液位过高,1,2,3,138
