,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,142,1,0,1
F1_CND1真空恶化,105,30,0,9
F2_CND1循环水不足,95,8,13,28
F3_CND1热井液位过高,113,2,0,29
